client_number,building_number,inventory_code,floor,room,fa_code,location,material_category,material_description,homogeneous_area,acm_classification,asbestos_detected,asbestos_percent,fiber_types,friable,material_class,category_i_or_ii,analytical_method,original_quantity,current_quantity,quantity_unit,condition,accessibility,disturbance_potential,label_present,label_condition,response_action,provisional,record_status,notes
HLM-220,HLM-01,HLM01-001,1,Records vault,FA-01-REC,"Vault floor, full room",Miscellaneous,"9×9 vinyl floor tile, beige",HA-FT-01,confirmed_acm,yes,4,Chrysotile,non_friable,Miscellaneous,I,PLM,1200,1200,SF,fair,accessible,moderate,no,,Continue surveillance,no,active,Original 1974 tile. Edges worn at vault door.
HLM-220,HLM-01,HLM01-002,1,Records vault,FA-01-REC,Beneath 9×9 tile,Miscellaneous,Black asphaltic mastic,HA-FT-01,confirmed_acm,yes,7,Chrysotile,non_friable,Miscellaneous,I,PLM,1200,1200,SF,fair,accessible,low,no,,Continue surveillance,no,active,Do not sand or grind. Wet methods if tile is lifted.
HLM-220,HLM-01,HLM01-003,1–3,Perimeter,,Original aluminum sash,Miscellaneous,Window glazing compound,HA-GL-01,assumed_acm,,,,non_friable,Miscellaneous,II,,280,280,LF,fair,accessible,low,no,,Continue surveillance,no,active,Assumed pending window replacement project.
HLM-220,HLM-01,HLM01-004,2,Conference 210,FA-02-CON,Lay-in ceiling,Miscellaneous,2×4 mineral-fiber ceiling tile,HA-CT-01,non_acm,no,0,,,Miscellaneous,,PLM,640,640,SF,good,accessible,low,no,,No action,no,active,2008 renovation. ND by PLM.
HLM-220,HLM-01,HLM01-005,3,File loft,,"Above hard lid, north",Thermal System Insulation,Suspect pipe wrap on abandoned heating line,HA-TSI-01,unknown,,,,friable,TSI,,,18,18,LF,fair,above_ceiling,low,no,,Further sampling,yes,active,Provisional. Discovered during 2026 file-loft walkthrough. Sample before any disturbance.
HLM-220,HLM-02,HLM02-001,1,Mezz mechanical,FA-SH-MECH,8-inch process steam mains,Thermal System Insulation,"Pipe insulation, aircell",HA-TSI-02,confirmed_acm,yes,45,Chrysotile,friable,TSI,,PLM,420,420,LF,good,mechanical_space,low,yes,good,Continue surveillance,no,active,Labeled at 20-ft intervals. Do not hang tools from insulation.
HLM-220,HLM-02,HLM02-002,1,Mezz mechanical,FA-SH-MECH,Elbows and tees on steam mains,Thermal System Insulation,Mudded pipe fittings,HA-TSI-03,confirmed_acm,yes,60,Chrysotile; Amosite,friable,TSI,,PLM,36,36,EA,damaged,mechanical_space,moderate,yes,fair,Repair,no,active,Three elbows cracked at the east header. Repair ticket recommended.
HLM-220,HLM-02,HLM02-003,1,High bay,FA-SH-BAY,"Column fireproofing, bays 4–9",Surfacing,Spray-applied fireproofing,HA-SF-01,assumed_acm,,,,friable,Surfacing,,,8500,8500,SF,good,accessible,low,no,,Continue surveillance,no,active,Assumed. AHERA-style 3-5-7 sampling not yet completed on this HA.
HLM-220,HLM-02,HLM02-004,1,High bay,FA-SH-BAY,South office build-out floor,Miscellaneous,"12×12 vinyl floor tile, gray",HA-FT-02,non_acm,no,0,,non_friable,Miscellaneous,I,PLM,2400,2400,SF,good,accessible,low,no,,No action,no,active,1998 office pad. ND.
HLM-220,HLM-03,HLM03-001,Basement,Pipe tunnel,FA-BH-TUN,"Tunnel north run, 10-inch steam",Thermal System Insulation,"Pipe insulation, magnesia / aircell",HA-TSI-04,confirmed_acm,yes,50,Chrysotile; Amosite,friable,TSI,,PLM,260,260,LF,needs_repair,confined_area,high,yes,missing,Repair,no,active,Cloth wrap torn at two hangers. Confined-space PPE required. Relabel after repair.
